id,osm_id,name,number,street,postal_code,city,country,country_code,status,lat,lon,website,phone,fax,year,tags,description,stats_payantes,stats_gratuites
2632401,75706507.0,Musée d'Archéologie Tricastine,,Passage Fanjoux,26130,Saint-Paul-Trois-Châteaux,France,fr,open,44.34948825,4.768113979626141,,,,2013,label:musee de france,,2111,3434
7405601,97313427.0,Musée Alpin,,Rue de la Tournette,74400,Chamonix-Mont-Blanc,France,fr,open,45.9240251,6.871257449784508,,,,2013,label:musee de france,,11014,5983
7422501,7056652026.0,"Notre histoire, Musée de Rumilly",,Place de la Manufacture,74150,Rumilly,France,fr,open,45.8619761,5.9480724,,,,2013,label:musee de france,,2197,0
7428001,4460540284.0,Musée des Vallées de Thônes,1,Rue Blanche,74230,Thônes,France,fr,open,45.8816772,6.3240667,,,,2013,label:musee de france,,571,632
3818508,35081222.0,Musée de la Résistance de la Déportation de l'Isère,,Rue Hébert,38000,Grenoble,France,fr,open,45.19011945,5.735202775033237,,,,2013,label:musee de france,,0,28749
3800501,171257717.0,Conservatoire - Musée des Industries Hydroélectriques,,Le Verney,38114,Vaujany,France,fr,closed,45.1463919,6.049412773128473,,,,2013,label:musee de france,,0,0
3854402,135880564.0,Musée Lapidaire Saint-Pierre,,Rue Delorme,38200,Vienne,France,fr,open,45.522843,4.871060720000006,,,,2013,label:musee de france,,3766,7317
4205901,6050847032.0,Atelier - Musée du Chapeau,31,Rue Martouret,42140,Chazelles-sur-Lyon,France,fr,open,45.6386575,4.395141,,,,2013,label:musee de france,,16051,10219
4214701,163997717.0,Musée d'Allard,,Avenue d'Allard,42600,Montbrison,France,fr,open,45.6082165,4.061633719569123,,,,2013,label:musee de france,,1926,9011
4217301,,Musée du Vieux Pommiers,,,,POMMIERS-EN-FOREZ,France,fr,closed,,,,,,2013,label:musee de france,,0,0
4218701,,Musée des Beaux-Arts et d'Archéologie J. Dechelette,,,,ROANNE,France,fr,open,,,,,,2013,label:musee de france,,2398,12220
4223001,7419064519.0,Musée Municipal,,Place de la Madeleine,42260,Saint-Germain-Laval,France,fr,closed,45.8301288,4.0106,,,,2013,label:musee de france,,0,0
4231801,,Musée Rural,,,,USSON-EN-FOREZ,France,fr,open,,,,,,2013,label:musee de france,,3818,1065
6938602,51263801.0,Muséum d'Histoire Naturelle,,Avenue de Lyon,73000,Chambéry,France,fr,closed,45.5641024,5.916291852044658,,,,2013,label:musee de france,,0,0
6938101,62277312.0,Musée d'Art Contemporain de Lyon,,Allée Achille Lignon,69006,Lyon,France,fr,open,45.7842186,4.852469746082954,,,,2013,label:musee de france,,147030,0
6924801,1714229898.0,Ecomusée du Haut Beaujolais,,Chemin des Pierres Plantées,69240,Marnand,France,fr,open,46.0380747,4.315875,,,,2013,label:musee de france,,261,990
7300601,,Musée archéologique et minéralogique Pierre Borrione,,,,AIME-EN-TARENTAISE,France,fr,open,,,,,,2013,label:musee de france,,760,481
9750202,1840464642.0,Musée Municipal,,Rue Dominique Brorota,97500,Miquelon-Langlade,France,fr,open,47.100756,-56.3792429,,,,2013,label:musee de france,,2098,577
6702101,79550929.0,Musée de la Folie Marco,,Rue du Docteur Sultzer,67140,Barr,France,fr,open,48.4102662,7.451144221648343,,,,2013,label:musee de france,,2959,3108
6737201,158554855.0,Musée de l'Image Populaire de Pfaffenhoffen,,Rue du Docteur Albert Schweitzer,67350,Haguenau-Wissembourg,France,fr,open,48.84483,7.611572863641975,,,,2013,label:musee de france,,1462,841
6743701,1801327289.0,Musée du Château des Rohan,,Place du Général de Gaulle,67700,Saverne,France,fr,open,48.7418466,7.3639083,,,,2013,label:musee de france,,4130,3574
6748202,239825772.0,Musée Archéologique,,Rue du Bain-aux-Roses,67065,Strasbourg,France,fr,open,48.5808521,7.7525857,,,,2013,label:musee de france,,17100,26879
6748204,239825781.0,Musée des Arts Décoratifs,,Place du Marché aux Poissons,67065,Strasbourg,France,fr,open,48.5807532,7.7523558,,,,2013,label:musee de france,,27328,26714
6751301,,Musée J.F. Oberlin,,,,WALDERSBACH,France,fr,open,,,,,,2013,label:musee de france,,22134,7908
6814901,,Musée Historique et Militaire de Huningue,,,,HUNINGE,France,fr,open,,,,,,2013,label:musee de france,,168,188
6816201,,Musée d'Histoire Local,,,,KAYSERSBERG,France,fr,open,,,,,,2013,label:musee de france,,343,217
6822404,449007880.0,Musée EDF Electropolis,,Autodrome du Musée de l'Automobile,68100,Mulhouse,France,fr,open,47.7612848,7.327971551196445,,,,2013,label:musee de france,,30679,7302
2431101,,Musée Départemental de la Poupée et du Jouet,,,,NONTRON,France,fr,closed,,,,,,2013,label:musee de france,,0,0
2452002,,Musée de Sarlat et du Périgord Noir,,,,SARLAT-LA-CANEDA,France,fr,closed,,,,,,2013,label:musee de france,,0,0
3305701,,Musée Municipal de Blasimon,,,,BLASIMON,France,fr,closed,,,,,,2013,label:musee de france,,0,0
3306310,6912095875.0,Musée Goupil,,Cours Pasteur,33000,Bordeaux,France,fr,closed,44.8358149,-0.5749304,,,,2013,label:musee de france,,0,0
3306303,79979299.0,Musée des Beaux-Arts,,Rue Dufau,33000,Bordeaux,France,fr,open,44.837340600000005,-0.5806817120198913,,,,2013,label:musee de france,,8743,51923
3306701,,Musée de la Voiture à Cheval,,,,BOURG-SUR-GIRONDE,France,fr,open,,,,,,2013,label:musee de france,,1879,770
3335201,3594400954.0,Musée Municipal,,D 126,33190,Les Esseintes,France,fr,closed,44.6073617,-0.0742559,,,,2013,label:musee de france,,0,0
3339401,4870482921.0,Musée d'Histoire et d'Archéologique,,Place du 11 Novembre 1918,33330,Saint-Émilion,France,fr,closed,44.8959729,-0.1551283,,,,2013,label:musee de france,,0,0
4004601,1508590127.0,Musée Historique de l'Hydravion,,Rue Louis Bréguet,40600,Biscarrosse,France,fr,open,44.3892176,-1.1816658,,,,2013,label:musee de france,,14414,609
4008801,5223344896.0,Musée de Borda,11 bis,Rue des Carmes,40100,Dax,France,fr,open,43.7105638,-1.0538641,,,,2013,label:musee de france,,2553,6614
4716701,3110116210.0,Musée du Liège et du Bouchon,,Rue du Puits,47170,Mézin,France,fr,open,44.0564056,0.2561249,,,,2013,label:musee de france,,3919,939
6444504,418831528.0,Musée Béarnais,,Allée de l'Émir Abd el-Kader,64000,Pau,France,fr,closed,43.294875,-0.3754333,,,,2013,label:musee de france,,0,0
1501401,2085157238.0,Musée des Sciences,,Rue des Fourmillères,15120,Lacapelle-del-Fraisse,France,fr,open,44.7599649,2.4617902,,,,2013,label:musee de france,,949,9711
4311701,,Musée des Arts et Traditions Populaires de Haute Loire,,,,LAVAUDIEU,France,fr,open,,,,,,2013,label:musee de france,,9418,703
6322301,7638286185.0,Musée Paléontologique,,D 508,63560,Neuf-Église,France,fr,open,46.1202255,2.8584098,,,,2013,label:musee de france,,407,70
6330002,700609622.0,Musée Francisque Mandet,14,Rue de l'Hôtel de Ville,63200,Riom,France,fr,open,45.8935237,3.116637906648638,,,,2013,label:musee de france,,3408,14176
2100801,1614573.0,Musée Alésia - Centre d'Interprétation,1,D 103T,21150,Alise-Sainte-Reine,France,fr,open,47.5357138,4.469206464634147,,,,2013,label:musee de france,,86154,15231
2105404,1681385.0,Musée E.J Marey,,Place des Halles,21200,Beaune,France,fr,closed,47.0221265,4.836843691477009,,,,2013,label:musee de france,,0,0
2123106,23363257.0,"Musée de la Vie Bourguignonne, Perrin de Puycousin",,Rue du Chaignot,21000,Dijon,France,fr,open,47.31745415,5.0380257629051215,,,,2013,label:musee de france,,0,42904
2123103,2751550494.0,Musée Magnin,,Rue des Bons Enfants,21000,Dijon,France,fr,open,47.3209486,5.0422275,,,,2013,label:musee de france,,5165,7768
2123102,1493118991.0,Musée Archéologique,,Place Saint-Bénigne,21000,Dijon,France,fr,open,47.3216174,5.0348411,,,,2013,label:musee de france,,0,27409
2123104,175641505.0,Musée des Beaux-Arts,,Place de la Libération,21000,Dijon,France,fr,open,47.32163075,5.042364361722523,,,,2013,label:musee de france,,4859,166378
2126501,480527098.0,Musée Noisot,,Rue de la Perrière,21220,Fixin,France,fr,open,47.245420300000006,4.962403425466516,,,,2013,label:musee de france,,197,181
2160301,1785218940.0,Musée Municipal,,Impasse de l'Ancienne Comédie,21140,Semur-en-Auxois,France,fr,open,47.4902772,4.3344776,,,,2013,label:musee de france,,1148,5677
5806201,3618004518.0,Musée du Septennat,,Place du Château,58120,Château-Chinon (Ville),France,fr,open,47.0672537,3.9351818,,,,2013,label:musee de france,,9344,3469
5805901,,Musée Municipal,,,,LA CHARITE-SUR-LOIRE,France,fr,closed,,,,,,2013,label:musee de france,,0,0
